1005010002,健康运动、户外|运动服饰|运动夹克,adidas 户外梭织羽绒茄克 W66317 黑色 2XL   ,首页 > 运动户外 > 运动服装 > 运动棉衣 > ADIDAS 阿迪达斯,徐家汇商城,$N
,卡帕Kappa男式运动夹克K0212JJ07-866 蓝色 XL,服饰鞋帽>运动>夹克>卡帕Kappa男式运动夹克K0212JJ...,京东商城,天瑞运动
NULL,NULL,耐克AS NIKE VAPOR WR 男子跑步运动夹克 465391-011 465391-011 XL,耐克AS NIKE VAPOR WR 男...,京东商城,麦客运动专营店
NULL,NULL,新款 Adidas NEO 阿迪休闲女装 运动夹克 Z49075 颜色Z49075 S,服饰内衣>运动>夹克>新款 Adidas NEO 阿迪休闲女装...,京东商城,酷买运动专营店
NULL,NULL,阿迪达斯Adidas 女子运动夹克 X19131 X19131 XL,服饰内衣>运动>夹克>阿迪达斯（Adidas）>阿迪达斯Adidas 女子运动夹克 X1...,京东商城,联合尚品运动户外专营店
NULL,NULL,Adidas阿迪达斯男子运动夹克 X12193 XXL,服饰鞋帽>运动>夹克>adidas阿迪达斯>Adidas阿迪达斯男子运动夹克 X12...,京东商城,加百利运动专营店
1008002008,服饰、鞋、包|男装|夹克,匹克/PEAK 13年春季男士新款时尚休闲运动夹克外套 F231241 黑色/银色 2XL,服饰鞋帽>运动>夹克>匹克/PEAK 13年春季男士新款时尚休...,京东商城,腾飞体育匹克专营店
NULL,NULL,【耐克】NIKE 2013 男子运动夹克434369-006 灰色006 34-S,【耐克】NIKE 2013 男子运动夹...,京东商城,激想运动专营店
1008002021,服饰、鞋、包|男装|中老年男装,阿迪达斯adidas 2013新品春款 男装 男式运动夹克--Z24315 Z24317 灰色 XL,服饰鞋帽>运动>夹克>阿迪达斯（Adidas）>阿迪达斯adidas 2013新品春款 ...,京东商城,海光运动专营店
1008002008,服饰、鞋、包|男装|夹克,安踏(ANTA)2012冬季新款男运动夹克棉服棉茄克15241845-2 黑色-2 XXXL/高185CM/肩宽49CM/胸124CM,Anta安踏>安踏(ANTA)2012冬季新款男运动夹...,京东商城,好动时尚专营店
1008002012,服饰、鞋、包|男装|外套,TOPOT 春装 正品休闲外套 男士运动夹克 男装 春秋装撞色 黑色 180/XL,服饰内衣>男装>夹克>TOPOT>TOPOT 春装 正品休闲外套 男士运动...,京东商城,topot旗舰店
NULL,NULL,贵人鸟K-BIRD12年款冬季热卖女子立领运动夹克 1123134-2 玫红色1123134-2 L,服饰内衣>运动>夹克>贵人鸟K-BIRD12年款冬季热卖女子立...,京东商城,辉动运动专营店
NULL,NULL,【最强满减】鸿星尔克erke 女子2012新款户外风衣加厚运动夹克12212308549 青紫 L,服饰鞋帽>运动>夹克>【最强满减】鸿星尔克erke 女子201...,京东商城,巨爵专营店
1008001014,服饰、鞋、包|女装|短外套,耐克 NIKE 休闲运动夹克 外套 女装405926-010 XL,服饰鞋帽>运动>夹克>耐克 NIKE 休闲运动夹克 外套 女装...,京东商城,边度阳光运动
NULL,NULL,男童春秋新款拼色防水运动夹克J10 波点 红色 130,服饰鞋帽>童装>男童>男童春秋新款拼色防水运动夹克J10 波点...,京东商城,PHERRYMA童装
NULL,NULL,阿迪达斯 adidas 女 双面穿运动夹克 Z26906 黄色 XL,阿迪达斯 adidas 女 双面穿运动夹...,京东商城,锋线运动专营店
NULL,NULL,阿迪达斯 adidas AC米兰 运动夹克 Z25277 灰色 L,阿迪达斯 adidas AC米兰 运动夹...,京东商城,锋线运动专营店
NULL,NULL,阿迪达斯 adidas 男 运动夹克 Z24201 Z24199 黑色 M,阿迪达斯 adidas 男 运动夹克 Z...,京东商城,锋线运动专营店
NULL,NULL,阿迪达斯 adidas 男 运动夹克 Z24191 黑色 L,阿迪达斯 adidas 男 运动夹克 Z...,京东商城,锋线运动专营店
NULL,NULL,阿迪达斯adidas2013春季新款男子时尚休闲运动夹克外套N Z24317 尊贵蓝/学院藏青蓝 M,运动户外>运动服饰>夹克/风衣>阿迪达斯（Adidas）>阿迪达斯adidas2013春季新款男子...,京东商城,辉动运动专营店
1008001014,服饰、鞋、包|女装|短外套,赛琪女装运动夹克运动外套212206 桔红色-43 2XL,服饰内衣>运动>夹克>赛琪>赛琪女装运动夹克运动外套212206 桔...,京东商城,赛琪旗舰店
1008002008,服饰、鞋、包|男装|夹克,杰塞威斯 春秋新款中大童童装 男款休闲运动夹克茄克C-1205 灰色 140,杰塞威斯>杰塞威斯 春秋新款中大童童装 男款休闲运...,京东商城,杰塞威斯
NULL,NULL,ADIDAS(阿迪达斯) 街头休闲系列 运动夹克 女性 P71966 L,adidas阿迪达斯>ADIDAS(阿迪达斯) 街头休闲系列 ...,京东商城,运动在线
NULL,NULL,THE NORTH FACE/TNF乐斯菲斯 男款户外运动夹克 A14N MY M,运动健康>户外鞋服>户外服装>乐斯菲斯（THE NORTH FACE）>THE NORTH FACE/TNF乐斯...,京东商城,宣丰运动
1008002012,服饰、鞋、包|男装|外套,耐克 NIKE 运动夹克 外套 男装 466654-010/368/410 CZ 410 M,服饰内衣>运动>夹克>耐克（NIKE）>耐克 NIKE 运动夹克 外套 男装 4...,京东商城,边度阳光运动
1008002012,服饰、鞋、包|男装|外套,丹琪杰思（DANTSJESSE) 2013春秋潮流 韩版男装 拼色夹克 薄款修身运动夹克 男外套Y50 米黄色 M,服饰内衣>男装>夹克>丹琪杰思>丹琪杰思（DANTSJESSE) 201...,京东商城,丹琪杰思旗舰店
1008001014,服饰、鞋、包|女装|短外套,阿迪达斯 Adidas 双面穿秋装外套女装运动夹克 852B2 玫红 XL,阿迪达斯（Adidas）>阿迪达斯 Adidas 双面穿秋装外套女...,京东商城,尚跃运动专营店
1008002012,服饰、鞋、包|男装|外套,Giordano/佐丹奴男装初春型男运动夹克01071020经典黑色 黑色 XL,服饰内衣>男装>外套>Giordano/佐丹奴男装初春型男运动...,京东商城,佐丹奴男装及童装店
NULL,NULL,彪马（Puma）时尚休闲运动夹克 女款 55508911 紫色 L(165/88A),彪马（Puma）>彪马（Puma）时尚休闲运动夹克 女款 ...,京东商城,彪马puma专营店
NULL,NULL,Umbro茵宝 英格兰针织外套 运动夹克 19151721 深藏青 XXL,Umbro茵宝 英格兰针织外套 运动夹克...,京东商城,umbro茵宝
NULL,NULL,Umbro茵宝 英格兰 抓绒保暖外套 运动夹克 18751741 深藏青 XXXL,茵宝（Umbro）>Umbro茵宝 英格兰 抓绒保暖外套 运...,京东商城,umbro茵宝
NULL,NULL,Adidas 阿迪达斯女装 休闲 运动夹克 X57584 颜色X57584 XL,Adidas 阿迪达斯女装 休闲 运动夹...,京东商城,酷买运动专营店
NULL,NULL,新款 Adidas NEO 阿迪休闲女装 运动夹克 Z49078 颜色Z49078 M,服饰内衣>运动>夹克>新款 Adidas NEO 阿迪休闲女装...,京东商城,酷买运动专营店
1008002008,服饰、鞋、包|男装|夹克,阿迪达斯/Adidas男装上衣夹克 跑步系列男子运动夹克E56619 L,阿迪达斯/Adidas男装上衣夹克 跑步...,京东商城,联百运动
1008002008,服饰、鞋、包|男装|夹克
,ANTA 安踏 综训系列 男式 运动夹克 15337644,服饰箱包 > 休闲运动服装 > 风衣、夹克,亚马逊(卓越网),ANTA 安踏
1008003093,服饰、鞋、包|内衣|保暖内衣,鸿星尔克 ERKE 男加绒保暖运动夹克上衣Z 11212315195 彩蓝 L,服饰内衣>运动>夹克>鸿星尔克（ERKE）>鸿星尔克 ERKE 男加绒保暖运动夹克上...,京东商城,淘点运动专营店
NULL,NULL,Nike耐克男子运动夹克 459383-446 M,服饰鞋帽>运动>夹克>Nike耐克男子运动夹克 459383-...,京东商城,宝夏体育
NULL,NULL,adivon 女款休闲运动夹克 B8306 蓝 L,adivon 女款休闲运动夹克 B830...,京东商城,阿迪王
NULL,NULL,阿迪达斯 adidas 男 运动夹克 X20516 黑色 S,阿迪达斯 adidas 男 运动夹克 X...,京东商城,锋线运动专营店
NULL,NULL,阿迪达斯 adidas 男 运动夹克 X20757 X20758 X20763 Z32797 红色 L,阿迪达斯 adidas 男 运动夹克 X...,京东商城,锋线运动专营店
NULL,NULL,六月大促CBA 男款运动夹克外套（摇粒）5121306－002/083两色选 -002黑 M-165/88,服饰内衣>运动>夹克>CBA>六月大促CBA 男款运动夹克外套（摇粒）...,京东商城,CBA旗舰店
1008002012,服饰、鞋、包|男装|外套,报喜鸟SAINT ANGELO新款男士立领品质运动夹克QBF53051 灰色 54/XXXL,服饰内衣>男装>外套>报喜鸟（Saint Angelo）>报喜鸟SAINT ANGELO新款男士立...,京东商城,报喜鸟
NULL,NULL,亚伦强森AaronJohnson运动夹克 3327 白色 L,亚伦强森（AJ.）>亚伦强森AaronJohnson运动夹克...,京东商城,亚伦强森
NULL,NULL,叮当猫童装（DDcat) 春秋男童运动夹克11W3003 绿色 150,服饰鞋帽>童装>男童>叮当猫童装（DDcat) 春秋男童运动夹...,京东商城,衣佳网购
1005004001,健康运动、户外|体育娱乐、健身|羽毛球,川崎KAWASAKI长袖羽毛球服上衣外套13101秋冬新款 男款运动夹克 橙红 XXXL码,服饰内衣>运动>夹克>川崎（KAWASAKI）>川崎KAWASAKI长袖羽毛球服上衣外套...,京东商城,好德运动专营店
1008002008,服饰、鞋、包|男装|夹克,花花公子PLAYBOY2012秋冬男士梭织运动夹克外套12185184 彩蓝色 XXL,花花公子PLAYBOY2012秋冬男士梭...,京东商城,芭莎运动专营店
NULL,NULL,Adidas阿迪达斯女子运动夹克 W57822 图片色 L,服饰鞋帽>运动>夹克>adidas阿迪达斯>Adidas阿迪达斯女子运动夹克 W57...,京东商城,加百利运动专营店
1008002012,服饰、鞋、包|男装|外套,李宁LINING 秋款 男装 男式运动夹克 外套 AJDE165-2 红色 XXL,李宁LINING 秋款 男装 男式运动夹...,京东商城,联百运动专营店
1015008008,母婴童|妈妈专区|孕妇上装、孕妇套装,CBA 秋款男子运动上衣运动夹克外套5111301-083 -083紫 2XL-180/100,服饰内衣>运动>夹克>CBA>CBA 秋款男子运动上衣运动夹克外套51...,京东商城,CBA旗舰店
NULL,NULL,Nike耐克女子运动夹克 520902-602 L,服饰鞋帽>运动>夹克>Nike耐克女子运动夹克 520902...,京东商城,加百利运动专营店
NULL,NULL,阿迪达斯 三叶草 adidas 女 运动夹克 Z34851 黑色 32,阿迪达斯 三叶草 adidas 女 运动...,京东商城,锋线运动专营店
NULL,NULL,【耐克】NIKE 2013 女子运动夹克410150-010 黑色010 36-M,【耐克】NIKE 2013 女子运动夹克...,京东商城,激想运动专营店
NULL,NULL,Nike耐克女子运动夹克 480813-060 M,服饰鞋帽>运动>夹克>Nike耐克女子运动夹克 480813-...,京东商城,加百利运动专营店
NULL,NULL,阿迪达斯 adidas 女 运动夹克 Z26473 Z26474 黄色 L,阿迪达斯 adidas 女 运动夹克 Z...,京东商城,锋线运动专营店
NULL,NULL,洛彼蒂卡帕 RobeDiKappa 帝国黑女士百搭半袖款运动夹克D2101GW102-990 帝国黑 女衣L(170/88A),服饰鞋帽>运动>夹克>洛彼蒂卡帕 RobeDiKappa 帝国...,京东商城,ROBE DI KAPPA旗舰店
1004008006,汽车摩托|摩托车装备|摩托车配件,2013新款女超轻防晒风衣Kolumb哥仑步皮肤风衣 运动夹克 208661,运动户外休闲 > 自行车 > 自行车服 ,亚马逊(卓越网),Kolumb 哥仑步
NULL,NULL,Adidas阿迪达斯男子运动夹克 X74500 M,服饰内衣>运动>夹克>Adidas阿迪达斯男子运动夹克 X74...,京东商城,宝夏体育
NULL,NULL,Adidas阿迪达斯男子运动夹克 Z24166 XL,服饰鞋帽>运动>夹克>adidas阿迪达斯>Adidas阿迪达斯男子运动夹克 Z24...,京东商城,宝夏体育
NULL,NULL,沃特voit 新款 男款休闲运动夹克 立领 外套121119283 22金属灰 XXXL,服饰内衣>运动>夹克>沃特（VOIT）>沃特voit 新款 男款休闲运动夹克 立...,京东商城,沃特旗舰店
1015008008,母婴童|妈妈专区|孕妇上装、孕妇套装,CBA 男运动外套春季运动上衣运动夹克5111301 两色选 黑 XL-175/96,服饰内衣>运动>夹克>CBA>CBA 男运动外套春季运动上衣运动夹克5...,京东商城,CBA旗舰店
NULL,NULL,CBA 秋款男子运动夹克休闲外套5121309 -002黑 2XL-180/100,服饰鞋帽>运动>夹克>CBA 秋款男子运动夹克休闲外套5121...,京东商城,CBA旗舰店
1008002008,服饰、鞋、包|男装|夹克,阿迪达斯adidas三叶草男装运动夹克-X41201 黑色 S,阿迪达斯adidas三叶草男装运动夹克-...,京东商城,西街运动专营店
1008002012,服饰、鞋、包|男装|外套,Adidas阿迪达斯 秋装外套 男装运动夹克 灰色 XL,服饰内衣>运动>夹克>Adidas阿迪达斯 秋装外套 男装运动...,京东商城,锋锐运动专营店
NULL,NULL,IROCK艾锐克女梭织运动夹克 2811305 黑色 L 165/88A,IROCK艾锐克女梭织运动夹克 2811...,京东商城,艾锐克
NULL,NULL,IROCK艾锐克女梭织运动夹克 6810319 粉红 XL 170/92A,IROCK艾锐克女梭织运动夹克 6810...,京东商城,艾锐克
1008002008,服饰、鞋、包|男装|夹克,佐丹奴 (Giordano) 夹克 男荧光拉链藏帽运动夹克 01072556 09经典黑色 加大码(180/104A),服饰鞋帽>男装>夹克>佐丹奴>佐丹奴 (Giordano) 夹克 男荧...,京东商城,佐丹奴GIORDANO
1008002008,服饰、鞋、包|男装|夹克,CBA 男士运动外套春季运动上衣运动夹克5111301 两色选 紫兰 XL-175/96,服饰内衣>运动>夹克>CBA>CBA 男士运动外套春季运动上衣运动夹克...,京东商城,CBA旗舰店
1008002008,服饰、鞋、包|男装|夹克,clothin/卡鲁森2013男士秋季时尚立领运动夹克外套双面夹克一衣两穿CJ13052 红色 L,运动健康>户外鞋服>户外服装>卡鲁森（clothin ）>clothin/卡鲁森2013男士秋季时...,京东商城,clothin卡鲁森户外旗舰店
1008002008,服饰、鞋、包|男装|夹克
,阿迪达斯（adidas） 2012新款 男式运动夹克 X58233 深蓝+白 3XL,阿迪达斯（Adidas）>阿迪达斯（adidas） 2012新款 ...,京东商城,名鞋库运动旗舰店
NULL,NULL,德尔惠Deerway 2012年秋季新品女款连帽薄棉运动夹克 53222419 黑色 XXL(女),德尔惠Deerway 2012年秋季新品...,京东商城,德尔惠 官方旗舰店
1008002008,服饰、鞋、包|男装|夹克,Adidas 阿迪达斯男装 休闲 运动夹克 X58185 米色 XXXL,Adidas 阿迪达斯男装 休闲 运动夹...,京东商城,酷买运动专营店
1008002008,服饰、鞋、包|男装|夹克,Adidas 阿迪达斯男装 休闲 运动夹克 X58232 米色 XXXL,Adidas 阿迪达斯男装 休闲 运动夹...,京东商城,酷买运动专营店
1008002008,服饰、鞋、包|男装|夹克
,阿迪达斯（adidas） 男式运动夹克 P70277 暗绿+暗黄 S,阿迪达斯（Adidas）>阿迪达斯（adidas） 男式运动夹克 ...,京东商城,名鞋库adidas官方授权
1008002008,服饰、鞋、包|男装|夹克,Adidas 阿迪达斯男装 休闲 运动夹克 X57879 米色 XXXL,Adidas 阿迪达斯男装 休闲 运动夹...,京东商城,酷买运动专营店
NULL,NULL,沃特voit 新款 男 休闲运动夹克 立领 外套121119283 22金属灰 XXL,服饰鞋帽>运动>夹克>沃特voit 新款 男 休闲运动夹克 立...,京东商城,逸航运动专营店
NULL,NULL,阿迪达斯Adidas男子运动休闲连帽拉链卫衣运动夹克Z01104 蓝色 L,阿迪达斯Adidas男子运动休闲连帽拉链...,京东商城,溜狗运动
1008002021,服饰、鞋、包|男装|中老年男装,阿迪达斯adidas 春款 男装 霍华德 男式运动夹克--X74622 X74623 黑色 XXL,服饰内衣>运动>夹克>阿迪达斯（Adidas）>阿迪达斯adidas 春款 男装 霍华德...,京东商城,联百运动专营店
1008002008,服饰、鞋、包|男装|夹克,[EXR]韩国2012夏装男装短袖运动夹克EH4FT705M 白色 L(100),[EXR]韩国2012夏装男装短袖运动夹...,京东商城,韩国时尚馆
1008002008,服饰、鞋、包|男装|夹克,阿迪达斯adidas三叶草男装运动夹克-X52001 黑色 L,阿迪达斯（Adidas）>阿迪达斯adidas三叶草男装运动夹克-...,京东商城,西街运动专营店
NULL,NULL,Adidas阿迪达斯男子运动夹克 X58352 L,服饰鞋帽>运动>夹克>adidas阿迪达斯>Adidas阿迪达斯男子运动夹克 X58...,京东商城,宝夏体育
1008001002,服饰、鞋、包|女装|衬衫,李宁Lining 女装 女式运动夹克 AJDF070-1 AJDF070-2 AJDF070-3 黑色 S,服饰鞋帽>运动>夹克>李宁（LI-NING）>李宁Lining 女装 女式运动夹克 A...,京东商城,联百运动店
NULL,NULL,361度秋冬休闲外套潮流韩版透气运动夹克 5234502A 蓝 M,服饰内衣>运动>夹克>361°>361度秋冬休闲外套潮流韩版透气运动夹克...,京东商城,正飞运动专营店
1008002021,服饰、鞋、包|男装|中老年男装,李宁Lining 男装 男式运动夹克 AJDF035-1 AJDF035-2 AJDF035-3 绿色 L,服饰鞋帽>运动>夹克>李宁Lining 男装 男式运动夹克 ...,京东商城,联百运动店
NULL,NULL,阿迪达斯ADIDAS男子运动夹克 W27862 YK L,阿迪达斯（Adidas）>阿迪达斯ADIDAS男子运动夹克 W27...,京东商城,五星运动
1008002008,服饰、鞋、包|男装|夹克,美克meike 2012秋装新品男士时尚休闲运动夹克 双面可穿男士外套秋冬 防风保暖113311179 深蓝/果绿 M,服饰鞋帽>运动>夹克>美克meike 2012秋装新品男士时尚...,京东商城,美克官方旗舰店
1008004042,服饰、鞋、包|女鞋|雨鞋、雨靴,CBA 女款运动服女士运动外套运动夹克3Q109792J-99 孔雀兰 天蓝 4XL-185/104,CBA 女款运动服女士运动外套运动夹克3...,京东商城,CBA旗舰店
NULL,NULL,2012新款 adidas 阿迪达斯 运动夹克 男款 X57873 深蓝+灰 2XL,阿迪达斯（Adidas）>2012新款 adidas 阿迪达斯 运...,京东商城,名鞋库运动旗舰店
1008002008,服饰、鞋、包|男装|夹克,六月大促 CBA 男士运动上衣外套春秋季运动夹克5361105-083深紫 -083深紫 L-170/92,服饰内衣>运动>夹克>CBA>六月大促 CBA 男士运动上衣外套春秋季...,京东商城,CBA旗舰店
1008002008,服饰、鞋、包|男装|夹克,CBA 新款男装春季男士休闲运动夹克5121307-153青灰 -153青灰 XL-175/96,服饰内衣>运动>夹克>CBA>CBA 新款男装春季男士休闲运动夹克51...,京东商城,CBA旗舰店
NULL,NULL,花花公子Playboy秋冬新款情侣女款保暖休闲运动夹克21125001 紫色 M,服饰鞋帽>运动>夹克>花花公子Playboy秋冬新款情侣女款保...,京东商城,花花公子运动专卖店
NULL,NULL,乔丹春季男休闲服运动夹克OJD3313302 海蓝 XL,服饰鞋帽>运动>夹克>乔丹>乔丹春季男休闲服运动夹克OJD33133...,京东商城,正飞运动专营店
NULL,NULL,Adidas阿迪达斯女子运动夹克 X35071 M,服饰内衣>运动>夹克>阿迪达斯（Adidas）>Adidas阿迪达斯女子运动夹克 X35...,京东商城,宝夏体育
1008002012,服饰、鞋、包|男装|外套,耐克 NIKE 男装 秋冬外套 梭织夹克 男子休闲运动夹克 416499-010 XXL,服饰内衣>运动>夹克>耐克（NIKE）>耐克 NIKE 男装 秋冬外套 梭织夹克...,京东商城,边度阳光运动
1008002012,服饰、鞋、包|男装|外套,七匹狼2012新款薄款针织梭织运动夹克151138 白色 L(170/88A),服饰内衣>男装>外套>七匹狼（SEPTWOLVES）>七匹狼2012新款薄款针织梭织运动夹克1...,京东商城,七匹狼运动狼图腾专卖店
1008002021,服饰、鞋、包|男装|中老年男装,阿迪达斯adidas 三叶草 春款男装 男式运动夹克 #V33588 航空红 M,服饰鞋帽>运动>夹克>adidas阿迪达斯>阿迪达斯adidas 三叶草 春款男装 ...,京东商城,联百运动专营店
NULL,NULL,Adidas阿迪达斯女子运动夹克 X11810 XL,服饰鞋帽>运动>夹克>adidas阿迪达斯>Adidas阿迪达斯女子运动夹克 X11...,京东商城,宝夏体育
1008002008,服饰、鞋、包|男装|夹克,花花公子/PLAYBOY专柜正品 2012秋季新款 男士渐变休闲外套 运动夹克11205005 灰绿 165/M,运动健康>户外鞋服>户外服装>花花公子（PLAYBOY）>花花公子/PLAYBOY专柜正品 201...,京东商城,花花公子运动户外专营店
NULL,NULL,花花公子Playboy2012秋冬时尚双面穿男款运动夹克12125193 蓝色 XXL,服饰鞋帽>运动>夹克>花花公子Playboy2012秋冬时尚双...,京东商城,花花公子运动专卖店
1008002012,服饰、鞋、包|男装|外套,新款 Adidas NEO 阿迪休闲男装 运动夹克外套Z49589 颜色Z49589 1XL,服饰鞋帽>运动>夹克>adidas阿迪达斯>新款 Adidas NEO 阿迪休闲男装...,京东商城,酷买运动专营店
1008001014,服饰、鞋、包|女装|短外套,Adidas 阿迪达斯女装 休闲 运动夹克外套X57584,服饰内衣>运动>夹克>阿迪达斯（Adidas）>Adidas 阿迪达斯女装 休闲 运动夹...,京东商城,酷买运动专营店
NULL,NULL,Adidas阿迪达斯男子运动夹克 Z24315 M,服饰鞋帽>运动>夹克>adidas阿迪达斯>Adidas阿迪达斯男子运动夹克 Z24...,京东商城,加百利运动专营店
NULL,NULL,Adidas阿迪达斯男子运动夹克 Z31754 M,服饰鞋帽>运动>夹克>adidas阿迪达斯>Adidas阿迪达斯男子运动夹克 Z31...,京东商城,加百利运动专营店
1008002012,服饰、鞋、包|男装|外套,新款户外男装 户外运动夹克 男装立领休闲 春秋外套 户外夹克 土黄色 M,运动健康>户外鞋服>户外服装>新款户外男装 户外运动夹克 男装立领休闲...,京东商城,佩德罗户外旗舰店
NULL,NULL,Adidas阿迪达斯男子运动夹克 X58453 L,服饰鞋帽>运动>夹克>adidas阿迪达斯>Adidas阿迪达斯男子运动夹克 X58...,京东商城,宝夏体育
1015007029,母婴童|服饰寝居、童装、童鞋|上衣,小鱿鱼 童装男童秋装2013正反面穿儿童风衣外套运动夹克 枣红J615130 130cm,玩具 > 过家家 > 家庭玩具,亚马逊(卓越网),小鱿鱼
1015007029,母婴童|服饰寝居、童装、童鞋|上衣,小鱿鱼 童装男童秋装2013正反面穿儿童风衣外套运动夹克 黑色J615130 100cm,玩具 > 过家家 > 家庭玩具,亚马逊(卓越网),小鱿鱼
NULL,NULL,Converse 匡威 女式 运动夹克 04909C,服饰箱包 > 休闲运动服装 > 女士 > 风衣、夹克,亚马逊(卓越网),Converse 匡威
1002003001,玩具|毛绒、布艺|毛绒、布艺,泰迪传说 经典休闲运动夹克款泰迪熊 浅棕色,玩具 > 毛绒,亚马逊(卓越网),泰迪传说
1008002019,服饰、鞋、包|男装|西服套装,梵虎 春装韩版男装外套拼色夹克薄款修身潮男运动夹克连帽夹克,服饰箱包 > 男装 > 西服 > 西服上装,亚马逊(卓越网),NULL
NULL,NULL,ANTA 安踏 户外系列 女式 运动夹克 16336615,服饰箱包 > 休闲运动服装 > 女士 > 风衣、夹克,亚马逊(卓越网),ANTA 安踏
1008002012,服饰、鞋、包|男装|外套,【年终清仓 3折】现货 Nike耐克男装运动夹克外套 414434-545,运动户外 > 运动服装 > 夹克/外套 > 商品详情,当当网,无
NULL,NULL,特惠 ADIDAS SC(阿迪运动休闲)2013新款秋季男子运动夹克G77902,运动户外 > 运动服装 > 夹克/外套,当当网,无
NULL,NULL,Adidas阿迪达斯13女子运动夹克外套Z24300 DJ Z24300 S,服饰内衣>运动>夹克>阿迪达斯（Adidas）>Adidas阿迪达斯13女子运动夹克外套...,京东商城,型尚网运动专营店
1008002010,服饰、鞋、包|男装|大衣,爱·制造 绿盒子童装男童2012秋冬新品 蓝色炫星运动夹克衫 蓝色 MW110156,所有分类>服饰内衣、鞋靴童装>童装/童装配件>儿童外套/夹克/大衣>夹克/皮衣>爱·制造>爱·制造 绿盒子童装...,1号店,爱·制造
NULL,NULL,Nike/耐克 女 2013新款 针织运动夹克 535521-010-063-602,所有分类>运动户外>运动服/包/配件>运动夹克>Nike/耐克>Nike/耐克 女 ...,1号店,Nike/耐克
NULL,NULL,Adidas/阿迪达斯 2013秋新款 女 运动夹克 Z46902 Z46901 Z46900,所有分类>运动户外>运动服/包/配件>运动夹克>Adidas/阿迪达斯>Adidas/阿迪达...,1号店,Adidas/阿迪达斯
NULL,NULL,PEAK/匹克 运动夹克 男款 2013跑步文化系列加绒保暖 F223611,所有分类>运动户外>运动服/包/配件>运动夹克>PEAK/匹克>PEAK/匹克 运动...,1号店,PEAK/匹克
1005011011,健康运动、户外|户外服饰|内衣、内裤,Nike/耐克 三叶草系列 男子运动夹克 O57988 现,服饰内衣、鞋靴运动>运动户外装配>运动服饰>运动夹克>Nike/耐克,1号店,Nike/耐克
1008002008,服饰、鞋、包|男装|夹克
,Adivon 男式休闲百搭运动夹克A13503,所有分类>运动户外>运动服/包/配件>运动夹克>Adivon>Adivon 男式休...,1号店,Adivon
1005011011,健康运动、户外|户外服饰|内衣、内裤,Adidas/阿迪达斯 2012男子 三叶草时尚休闲运动夹克外套 X52365 X52366,服饰内衣、鞋靴运动>运动户外装配>运动服饰>运动夹克>Adidas/阿迪达斯,1号店,Adidas/阿迪达斯
1005011011,健康运动、户外|户外服饰|内衣、内裤,Adidas/阿迪达斯 生活系列女装 2013春款 摇粒绒运动夹克 X57826,服饰内衣、鞋靴运动>运动户外装配>运动服饰>运动夹克>Adidas/阿迪达斯,1号店,Adidas/阿迪达斯
NULL,NULL,Nike/耐克 男 2013新款 运动夹克 545262-402-063-010-602,所有分类>运动户外>运动服/包/配件>运动夹克>Nike/耐克>Nike/耐克 男 ...,1号店,Nike/耐克
NULL,NULL,Nike/耐克 男 2013秋新款 针织运动夹克 546973-625,所有分类>运动户外>运动服/包/配件>运动夹克>Nike/耐克>Nike/耐克 男 ...,1号店,Nike/耐克
1008002012,服饰、鞋、包|男装|外套,Ellenberger 艾伦伯格 2013秋冬新款 大码棒球服 运动夹克男 休闲百搭潮男外套950-,所有分类>服饰内衣、鞋靴童装>男装>夹克>Ellenberger 艾伦伯格>Ellenberge...,1号店,Ellenberger 艾伦伯格
NULL,NULL,Adidas Neo阿迪达斯生活系列黑色女士连帽天鹅绒运动夹克X58419，XL,首页>运动>运动休闲服>夹克,银泰网,阿迪达斯生活系列
1008002010,服饰、鞋、包|男装|大衣,Phenix 菲尼克斯 男式 运动夹克羽绒服 ES272OT41,服饰箱包 > 休闲运动服装 > 大衣、羽绒服,亚马逊(卓越网),Phenix 菲尼克斯
1008002012,服饰、鞋、包|男装|外套,KOOL 男运动夹克 新款韩版修身休闲夹克 男士外套126010001,所有分类>服饰内衣、鞋靴童装>男装>男士夹克>KOOL,1号店,男士夹克
1008002008,服饰、鞋、包|男装|夹克,HI-TEC/海泰客 HI-TEC海泰客防风 防水 防霉 保暖 三合一男士户外运动夹克14-1B005,所有分类>运动户外>户外鞋服>户外服装>户外休闲衣裤>HI-TEC/海泰客>HI-TEC/海泰客...,1号店,HI-TEC/海泰客
NULL,NULL,Adidas阿迪达斯女子运动夹克 Z24581 图片色 L,服饰鞋帽>运动>夹克>adidas阿迪达斯>Adidas阿迪达斯女子运动夹克 Z24...,京东商城,宝夏体育
1008002012,服饰、鞋、包|男装|外套,阿迪达斯adidas2013款春季男装运动夹克外套 黑色X74623 S,服饰内衣>运动>夹克>阿迪达斯（Adidas）>阿迪达斯adidas2013款春季男装运...,京东商城,木木三运动专营店
NULL,NULL,Adidas阿迪达斯新款女子运动夹克外套G72016 WHV G72016 S,服饰内衣>运动>夹克>阿迪达斯（Adidas）>Adidas阿迪达斯新款女子运动夹克外套...,京东商城,型尚网运动专营店
1008002008,服饰、鞋、包|男装|夹克,【货到付款】贵人鸟kbird 秋冬男装 保暖舒适男士加厚运动夹克1225023 -1黑色 3XL,服饰内衣>运动>夹克>贵人鸟（kbird）>【货到付款】贵人鸟kbird 秋冬男装 ...,京东商城,贵人鸟专卖店
